Unnamed: 0,Name,Parliament
26,Joost van Vollenhoven,1883-1884
27,Jacobus Gerardus de Bruijn,1883-1884
28,Johannes Hengst,1883-1884
29,Willem Hubert Pyls,1883-1884
30,Hubert Gérard Louis Regout,1883-1884
31,Johannes Theodorus Smits van Oyen,1883-1884
32,Petrus Johannes Antonius Smitz,1883-1884
33,Johannes Baptista Arnoldus Josephus Maria Verheyen,1883-1884
34,Louis Beerenbroek,1883-1884
35,Joan Huydecoper van Maarsseveen,1883-1884
36,Willem Anne Assueer Jacob Schimmelpenninck van der Oye,1883-1884
37,Menso Johannes Pijnappel,1883-1884
38,Theo van Lynden van Sandenburg,1883-1884
39,Jacob Moolenburgh,1883-1884
40,Willem Hendrik de Beaufort,1883-1884
41,Cornelis Jacobus Sickesz,1883-1884
42,Léon Armand Hyacinthe Magnée,1883-1884
0,Dirk van Akerlaken,1884-1887
1,Albert Jan Blijdenstein,1884-1887
2,Adolph Blussé,1884-1887
3,Jacobus van der Breggen Azn.,1884-1887
4,Doede Doedes Breuning,1884-1887
5,Hendrikus Albertus Diedericus Coenen,1884-1887
6,Frans Julius Johan van Eysinga,1884-1887
7,Isaäc Dignus Fransen van de Putte,1884-1887
8,Joan Huydecoper van Maarsseveen,1884-1887
9,Maurits Herman Insinger,1884-1887
10,Frederik Gerhard Edmond Merkes van Gendt,1884-1887
11,Jacob Moolenburgh,1884-1887
12,Hendrik Muller Szn.,1884-1887
13,Albertus van Naamen van Eemnes,1884-1887
14,Carolus Joannes Pické,1884-1887
15,Berend van Roijen,1884-1887
16,Cornelis Jacob Sickesz,1884-1887
17,Willem de Sitter,1884-1887
18,Charles Theodorus Stork,1884-1887
19,Jan Hendrik Frans Karel van Swinderen,1884-1887
20,Johannes Tak van Poortvliet,1884-1887
21,Jacobus Thooft,1884-1887
22,Gijsbert van Tienhoven,1884-1887
23,Theodorus Pieter Viruly,1884-1887
24,Dirk Visser van Hazerswoude,1884-1887
25,Joost van Vollenhoven,1884-1887
26,Godert Willem de Vos van Steenwijk,1884-1887
27,Jacobus Gerardus de Bruijn,1884-1887
28,Johannes Hengst,1884-1887
29,Léon Armand Hyacinthe Magnée,1884-1887
30,Willem Hubert Pyls,1884-1887
31,Hubert Gérard Louis Regout,1884-1887
32,Johannes Theodorus Smits van Oyen,1884-1887
33,Petrus Johannes Antonius Smitz,1884-1887
34,Johannes Baptista Arnoldus Josephus Maria Verheyen,1884-1887
35,Frederik Jacob Willem van Pallandt van Keppel,1884-1887
36,Menso Johannes Pijnappel,1884-1887
37,Willem Anne Assueer Jacob Schimmelpenninck van der Oye,1884-1887
38,Theo van Lynden van Sandenburg,1884-1887
39,Sjoerd Anne Vening Meinesz,1884-1887
40,Abraham Carel Wertheim,1884-1887
41,Joan Röell,1884-1887
42,Pieter Jacob Elout van Soeterwoude,1884-1887
0,Dirk van Akerlaken,1887-1888
1,Albert Jan Blijdenstein,1887-1888
2,Adolph Blussé,1887-1888
3,Jacob van der Breggen Azn.,1887-1888
4,Doede Doedes Breuning,1887-1888
