,Name,Parliament
57,Henri van Kol,1919-1922
58,Maup Mendels,1919-1922
59,Henri Polak,1919-1922
60,Willem Vliegen,1919-1922
61,Nicolaas Charles de Gijselaar,1919-1922
62,Abraham van der Hoeven,1919-1922
63,Willem Lodewijk de Vos van Steenwijk,1919-1922
64,Otto Jacob Eifelanus van Wassenaer van Catwijck,1919-1922
65,David van Embden,1919-1922
66,Gustaaf van der Feltz,1919-1922
67,Abraham Jacobus Frederik Fokker van Crayestein van Rengerskerke,1919-1922
68,"6 november: Alphonsus van Lamsweerde (RKSP) overlijdt. In de vacature wordt door de provincie Gelderland Antonius Johannes Jurgens Hzn. gekozen, die op 19 december geïnstalleerd wordt.",1919-1922
69,"3 februari: Rudolph Diepen (RKSP) overlijdt. In de vacature wordt door de provincie Noord-Brabant Bernard Theodor Carl Straeter gekozen, die op 23 maart geïnstalleerd wordt.",1919-1922
70,"6 februari: Jacobus Kappeyne van de Coppello (Liberale Unie) overlijdt. In de vacature wordt door de provincie Noord-Holland Carry Pothuis-Smit (SDAP) gekozen, die op 23 maart geïnstalleerd wordt.",1919-1922
71,"6 maart: Franciscus van Wichen (RKSP) overlijdt. In de vacature wordt door de provincie Zuid-Holland Everardus Bonifacius François Frederik Wittert van Hoogland gekozen, die op 13 april geïnstalleerd wordt.",1919-1922
72,"28 juni: Dirk Stork (Liberale Unie) verlaat de Eerste Kamer. In de vacature wordt door de provincie Overijssel Jan van der Lande (RKSP) gekozen, die op 29 juli geïnstalleerd wordt.",1919-1922
73,"6 september: Bernard Straeter (RKSP) overlijdt. In de vacature wordt door de provincie Noord-Brabant Henricus Maria Joseph Blomjous gekozen, die op 30 november geïnstalleerd wordt.",1919-1922
74,"21 september: Abraham Kuyper (ARP) verlaat de Eerste Kamer. In de vacature wordt door de provincie Zuid-Holland Alexander Willem Frederik Idenburg gekozen, die op 7 oktober geïnstalleerd wordt.",1919-1922
75,"14 oktober: Henri Staal (Liberale Unie) overlijdt. In de vacature wordt door de provincie Noord-Holland Marcus Slingenberg (VDB) gekozen, die op 20 november geïnstalleerd wordt.",1919-1922
76,"10 november: Hendrik Colijn (ARP) verlaat de Eerste Kamer. In de vacature wordt door de provincie Gelderland Pieter Diepenhorst gekozen, die op 27 december geïnstalleerd wordt.",1919-1922
77,"28 april: Antonius Jurgens Hzn. (RKSP) verlaat de Eerste Kamer. In de vacature wordt door de provincie Gelderland Johannes Franciscus Clemens Arntz gekozen, die op 28 juni geïnstalleerd wordt.",1919-1922
78,"29 juli: Herman Bavinck (ARP) overlijdt. In de vacature wordt door de provincie Zuid-Holland Anne Anema gekozen, die op 20 september geïnstalleerd wordt.",1919-1922
79,"18 november: Pieter 't Hooft (ARP) overlijdt. In de vacature wordt door de provincie Gelderland Johannes Beelaerts van Blokland gekozen, die op 20 december geïnstalleerd wordt.",1919-1922
80,"5 januari: Halbe Binnerts (Liberale Unie) overlijdt. In de vacature wordt door de provincie Friesland Johan Edzart van Welderen Rengers gekozen, die op 31 januari geïnstalleerd wordt.",1919-1922
81,"30 januari: Alphonse Michiels van Kessenich (RKSP) overlijdt. In de vacature wordt door de provincie Limburg François Isidore Joseph Janssen gekozen, die op 23 maart geïnstalleerd wordt.",1919-1922
82,22 mei: Frederic Joseph Maria Anton Reekers (RKSP) overlijdt. In de vacature wordt door de provincie Gelderland tijdens de zittingsperiode niet meer voorzien gezien de al uitgeschreven Eerste Kamerverkiezingen van 22 juni 1922.,1919-1922
