,Name,Parliament
30,Willem Hubert Pyls,1880-1883
31,Louis van Sasse van Ysselt,1880-1883
32,Petrus Johannes Antonius Smitz,1880-1883
33,Antonius Franciscus Vos de Wael,1880-1883
34,Louis Beerenbroek,1880-1883
35,Joan Huydecoper van Maarsseveen,1880-1883
36,Carolus Jacobus Antonius van Rijckevorsel tot 13 januari 1883,1880-1883
37,Evert du Marchie van Voorthuysen,1880-1883
38,Willem Anne Assueer Jacob Schimmelpenninck van der Oye,1880-1883
39,Maurits Herman Insinger vanaf 11 juli 1881,1880-1883
40,Doede Doedes Breuning vanaf 28 november 1881,1880-1883
41,Hendrik Muller Szn. vanaf 28 november 1881,1880-1883
42,Berend van Roijen vanaf 4 juli 1882,1880-1883
43,Dirk Visser van Hazerswoude vanaf 22 januari 1883,1880-1883
44,Hubert Gérard Louis Regout vanaf 11 juli 1881,1880-1883
45,Johannes Baptista Arnoldus Josephus Maria Verheyen vanaf 22 januari 1883,1880-1883
46,Menso Johannes Pijnappel vanaf 6 december 1882,1880-1883
0,Dirk van Akerlaken,1883-1884
1,Albert Jan Blijdenstein,1883-1884
2,Adolph Blussé,1883-1884
3,Willem Christiaan Borsius tot 30 september 1883,1883-1884
4,Doede Doedes Breuning,1883-1884
5,Hendrik Jan Carsten,1883-1884
6,Hendrikus Albertus Diedericus Coenen,1883-1884
7,Frans Julius Johan van Eysinga,1883-1884
8,Isaäc Dignus Fransen van de Putte,1883-1884
9,Maurits Herman Insinger,1883-1884
10,Louis Gaspard Adrien van Limburg Stirum tot 29 augustus 1884,1883-1884
11,Frederik Gerrit Edmond Merkes van Gendt,1883-1884
12,Hendrik Muller Szn.,1883-1884
13,Albertus van Naamen van Eemnes,1883-1884
14,Carel Johan Richard Nobel,1883-1884
15,Carolus Joannes Pické,1883-1884
16,Gerrit Adrianus de Raadt tot 30 december 1883,1883-1884
17,Berend van Roijen,1883-1884
18,Willem de Sitter,1883-1884
19,Charles Theodorus Stork,1883-1884
20,Jan Hendrik Frans Karel van Swinderen,1883-1884
21,Adriaan Volckert Teding van Berkhout,1883-1884
22,Jacobus Thooft,1883-1884
23,Gijsbert van Tienhoven,1883-1884
24,Theodorus Pieter Viruly,1883-1884
25,Dirk Visser van Hazerswoude,1883-1884
26,Joost van Vollenhoven,1883-1884
27,Jacobus Gerardus de Bruijn,1883-1884
28,Johannes Hengst,1883-1884
29,Willem Hubert Pyls,1883-1884
30,Hubert Gérard Louis Regout,1883-1884
31,Johannes Theodorus Smits van Oyen,1883-1884
32,Petrus Johannes Antonius Smitz,1883-1884
33,Johannes Baptista Arnoldus Josephus Maria Verheyen,1883-1884
34,Louis Beerenbroek tot 3 mei 1884,1883-1884
35,Joan Huydecoper van Maarsseveen,1883-1884
36,Willem Anne Assueer Jacob Schimmelpenninck van der Oye,1883-1884
37,Menso Johannes Pijnappel,1883-1884
38,Theo van Lynden van Sandenburg,1883-1884
39,Jacob Moolenburgh vanaf 29 november 1883,1883-1884
40,Willem Hendrik de Beaufort vanaf 17 april 1884,1883-1884
41,Cornelis Jacobus Sickesz vanaf 18 september 1884,1883-1884
42,Léon Armand Hyacinthe Magnée vanaf 29 juli 1884,1883-1884
0,Dirk van Akerlaken,1884-1887
1,Albert Jan Blijdenstein,1884-1887
2,Adolph Blussé,1884-1887
3,Jacobus van der Breggen Azn.,1884-1887
4,Doede Doedes Breuning,1884-1887
5,Hendrikus Albertus Diedericus Coenen,1884-1887
6,Frans Julius Johan van Eysinga,1884-1887
7,Isaäc Dignus Fransen van de Putte,1884-1887
8,Joan Huydecoper van Maarsseveen,1884-1887
9,Maurits Herman Insinger,1884-1887
10,Frederik Gerhard Edmond Merkes van Gendt tot 26 november 1884,1884-1887
11,Jacob Moolenburgh,1884-1887
12,Hendrik Muller Szn.,1884-1887
13,Albertus van Naamen van Eemnes,1884-1887
14,Carolus Joannes Pické tot 17 maart 1887,1884-1887
15,Berend van Roijen,1884-1887
16,Cornelis Jacob Sickesz,1884-1887
17,Willem de Sitter,1884-1887
18,Charles Theodorus Stork,1884-1887
19,Jan Hendrik Frans Karel van Swinderen,1884-1887
20,Johannes Tak van Poortvliet,1884-1887
21,Jacobus Thooft,1884-1887
22,Gijsbert van Tienhoven,1884-1887
23,Theodorus Pieter Viruly,1884-1887
24,Dirk Visser van Hazerswoude tot 18 juni 1886,1884-1887
25,Joost van Vollenhoven,1884-1887
26,Godert Willem de Vos van Steenwijk,1884-1887
27,Jacobus Gerardus de Bruijn,1884-1887
28,Johannes Hengst,1884-1887
29,Léon Armand Hyacinthe Magnée,1884-1887
30,Willem Hubert Pyls,1884-1887
31,Hubert Gérard Louis Regout,1884-1887
32,Johannes Theodorus Smits van Oyen,1884-1887
33,Petrus Johannes Antonius Smitz,1884-1887
34,Johannes Baptista Arnoldus Josephus Maria Verheyen,1884-1887
35,Frederik Jacob Willem van Pallandt van Keppel,1884-1887
36,Menso Johannes Pijnappel,1884-1887
37,Willem Anne Assueer Jacob Schimmelpenninck van der Oye,1884-1887
38,Theo van Lynden van Sandenburg tot 7 november 1885,1884-1887
39,Sjoerd Vening Meinesz vanaf 29 december 1884,1884-1887
40,Abraham Carel Wertheim vanaf 14 juli 1886,1884-1887
41,Joan Röell vanaf 23 mei 1887,1884-1887
42,Pieter Jacob Elout van Soeterwoude vanaf 11 januari 1886,1884-1887
0,Dirk van Akerlaken,1887-1888
1,Albert Jan Blijdenstein,1887-1888
2,Adolph Blussé,1887-1888
3,Jacob van der Breggen Azn.,1887-1888
4,Doede Doedes Breuning,1887-1888
5,Hendrikus Albertus Diedericus Coenen,1887-1888
6,Cornelis Donker Tzn.,1887-1888
7,Frans Julius Johan van Eysinga,1887-1888
