"District","Date","Aanbevolen.door","Aantal.stemmen","Percentage","name"
"Elst",1897-06-15,"CHK",284,4.4654," F.F. baron van Lynden van Hemmen"
"Enkhuizen",1897-06-15,"Lib + protectionist",84,1.1917," H. de Boer"
"Enschede",1897-08-17,"Ka",3238,40.8066," J.H. ter Veer"
"Enschede",1897-08-24,"Ka",3877,47.2229," J.H. ter Veer"
"Enschede",1897-08-17,"Lib",1653,20.8318,"mr. G.  Jannink"
"Lochem",1905-06-16,"Lib(VL)",2848,35.0955,"mr. G.  Jannink"
"Lochem",1905-06-28,"Lib(VL/VD)",4848,59.5724,"mr. G.  Jannink"
"Lochem",1909-06-11,"Lib(VL)",2745,34.524,"mr. G.  Jannink"
"Lochem",1909-06-23,"Lib(VL/VD/SDAP)",4049,53.4875,"mr. G.  Jannink"
"Lochem",1913-06-17,"Lib",3911,42.3589,"mr. G.  Jannink"
"Lochem",1913-06-25,"Lib(VL/VD/SDAP)",5889,63.8928,"mr. G.  Jannink"
"Lochem",1917-06-15,"Lib",4579,89.155,"mr. G.  Jannink"
"Franeker",1897-06-15,"AR",1098,29.8289," H.  Kamstra"
"Franeker",1897-06-25,"AR(Ka)",1961,44.1965," H.  Kamstra"
"Franeker",1897-06-15,"Rad",778,21.1356," Z.  Middelkoop"
"Leeuwarden",1897-07-27,"Rad",333,9.076," Z.  Middelkoop"
"Rotterdam V",1897-06-15,"CHK(VA)",387,14.5873," G. van Herwaarden"
"Loosduinen",1897-06-15,"CHK",808,13.621," G. van Herwaarden"
"Gorinchem",1897-06-15,"CHK",241,5.0855," G. van Herwaarden"
"Sliedrecht",1897-06-15,"CHK",950,21.769," G. van Herwaarden"
"Rotterdam III",1897-06-15,"CHK(VA)",314,12.1989," G. van Herwaarden"
"Gouda",1897-06-15,"AR",2084,46.5698," L.F.  Duymaer van Twist"
"Gouda",1897-06-25,"AR(Ka)",2554,49.7081," L.F.  Duymaer van Twist"
"Steenwijk",1901-06-14,"AR(Ka)",2545,58.385," L.F.  Duymaer van Twist"
"Steenwijk",1905-06-16,"AR(Ka/CHP)",3231,50.2254," L.F.  Duymaer van Twist"
"Zaandam",1909-06-11,"AR(Ka/CHU)",2296,27.5862," L.F.  Duymaer van Twist"
"Steenwijk",1909-06-11,"AR(Ka/CHU)",3826,56.4723," L.F.  Duymaer van Twist"
"Steenwijk",1913-06-17,"AR(Ka/CHU)",3721,51.197," L.F.  Duymaer van Twist"
"Steenwijk",1917-06-15,"AR",NA,NA," L.F.  Duymaer van Twist"
"Rotterdam II",1897-06-15,"Lib",1135,41.0043," D. de Klerk"
"Gouda",1897-06-15,"Rad",495,11.0615," D. de Klerk"
"Rotterdam II",1897-06-25,"Lib(CHK)",1649,73.5176," D. de Klerk"
"Sliedrecht",1901-06-14,"Lib(VL)",1357,36.9956," D. de Klerk"
"Ridderkerk",1901-06-14,"Lib(VL)",1803,39.2127," D. de Klerk"
"Gorinchem",1901-06-14,"Lib(VL)",1210,31.2339," D. de Klerk"
"Rotterdam II",1901-06-14,"Lib(VL)",1637,43.5372," D. de Klerk"
"Den Bosch",1901-06-14,"Lib(VL)",487,22.9392," D. de Klerk"
"Rotterdam II",1901-06-27,"Lib(VL/VD)",2298,53.9563," D. de Klerk"
"Rotterdam II",1905-06-16,"Lib",3124,45.726," D. de Klerk"
"Rotterdam II",1905-06-28,"Lib(VL/VD)",3829,53.5001," D. de Klerk"
"Rotterdam II",1909-06-11,"Lib(VL)",3200,37.9417," D. de Klerk"
"Rotterdam II",1909-06-23,"Lib(VL/VD/SDAP)",4508,50.3912," D. de Klerk"
"Rotterdam II",1913-06-17,"Lib",3349,29.9687," D. de Klerk"
"Rotterdam I",1913-08-01,"Lib",2343,26.4387," D. de Klerk"
"Gouda",1897-06-15,"Lib",291,6.5028," P. van der Hoog"
"Tiel",1897-06-15,"Rad",441,9.1818," F.  Mol"
"Den Haag II",1897-06-15,"Rad",348,7.7957," F.  Mol"
"Den Haag I",1897-06-15,"Rad",507,13.3001," F.  Mol"
"Amsterdam II",1901-06-14,"VD",100,6.7249," F.  Mol"
"Den Haag I",1901-06-14,"VD",81,1.997," F.  Mol"
"Gouda",1901-06-14,"VD",508,10.498," F.  Mol"
"Den Haag II",1897-06-15,"Ka",1562,34.991," H.A. le Bron de Vexela"
"Den Haag II",1897-06-25,"Ka(AR)",2096,43.7578," H.A. le Bron de Vexela"
"Schiedam",1897-06-15,"AR",802,15.2849," A.W.F.  Idenburg"
"Den Haag II",1897-06-15,"AR(VA)",588,13.172," A.W.F.  Idenburg"
"Schiedam",1901-06-14,"AR(Ka)",2088,47.1119," A.W.F.  Idenburg"
"Utrecht I",1901-06-14,"AR(Ka)",1534,30.723," A.W.F.  Idenburg"
"Utrecht I",1901-06-27,"AR(Ka/VA)",2088,43.5181," A.W.F.  Idenburg"
"Schiedam",1901-06-27,"AR(Ka)",2142,49.151," A.W.F.  Idenburg"
"Gouda",1901-07-30,"AR",2558,54.2524," A.W.F.  Idenburg"
"Den Haag II",1897-06-15,"Lib",68,1.5233," W.J.D. van Meeteren Brouwer"
"Den Haag III",1897-06-15,"VA(AR)",961,23.8639," J.D. baron van Wassenaer van Rosande"
"Den Haag III",1897-06-25,"VA(Ka/AR)",1836,43.2713," J.D. baron van Wassenaer van Rosande"
"Den Haag III",1897-06-15,"Ka",885,21.9767," H.J.G. van Hoogstraten"
"Den Haag I",1897-06-15,"AR(Ka/VA)",1967,51.6002," J.  Krap"
"Den Haag I",1901-06-14,"AR(Ka)",1643,40.5079," J.  Krap"
"Den Haag I",1901-06-27,"AR(Ka/VA)",2172,50.0923," J.  Krap"
"Den Haag I",1905-06-16,"AR(Ka/CHP)",2736,40.9152," J.  Krap"
"Den Haag I",1905-06-28,"AR(Ka/CHP)",3131,43.2877," J.  Krap"
"Den Haag I",1909-06-11,"AR(Ka/CHU)",3035,42.0244," J.  Krap"
"Den Haag I",1909-06-23,"AR(Ka/CHU)",3919,47.2966," J.  Krap"
"Groningen",1897-06-15,"CHK",362,8.3893,"mr. J.  Domela Nieuwenhuis"
"Gulpen",1897-06-15,"Ka",1828,51.1472," J.M.M.H.  Merkelbach"
"Gulpen",1901-06-14,"Ka",1695,82.4818," J.M.M.H.  Merkelbach"
"Gulpen",1897-06-15,"Ka",1552,43.4247,"mr. L.H.W.  Regout"
"Gulpen",1897-06-15,"Ka",194,5.4281,"mr. A.P.E.A.  Wijnans"
"Haarlem",1897-06-15,"Rad",156,3.9969," T.  Vallentgoed"
"Haarlem",1901-06-14,"VL(Lib)",1778,35.2079,"jhr.mr. F.W. van Styrum"
"Haarlem",1901-06-27,"VL(Lib/VD)",3135,63.142,"jhr.mr. F.W. van Styrum"
"Haarlem",1905-06-16,"VL",2125,32.0852,"jhr.mr. F.W. van Styrum"
"Haarlem",1905-06-28,"VL(Lib/VD)",4040,52.9558,"jhr.mr. F.W. van Styrum"
"Haarlem",1909-06-11,"VL",1390,17.0846,"jhr.mr. F.W. van Styrum"
"Haarlem",1901-06-14,"Ka",1480,29.3069," W.A.J. van de Kamp"
"Haarlem",1901-06-27,"Ka(AR/VA)",1830,36.858," W.A.J. van de Kamp"
"Elst",1913-06-17,"NBPK",2906,32.5858,"dr. P.J.  Muller"
"Katwijk",1913-06-17,"NBPK",135,1.6498,"dr. P.J.  Muller"
"Apeldoorn",1913-06-17,"NBPK",530,6.2404,"dr. P.J.  Muller"
"Den Haag III",1913-06-17,"NBPK",502,4.5434,"dr. P.J.  Muller"
"Haarlemmermeer",1897-06-15,"Lib",1532,22.4108,"mr. G.C.  Everwijn Lange"
"Haarlemmermeer",1897-06-15,"CHK",414,6.0562,"mr. F.R.  Crommelin"
"Hilversum",1897-06-15,"Lib",1420,23.7936," J.  Baron"
"Hoorn",1897-06-15,"AR",325,5.5928," N.  Oosterbaan"
"Alkmaar",1901-06-14,"AR(Ka)",2175,35.4639," N.  Oosterbaan"
"Haarlem",1901-06-14,"AR",491,9.7228," N.  Oosterbaan"
"Alkmaar",1901-06-27,"AR(Ka/VA)",2911,42.8151," N.  Oosterbaan"
"Lochem",1905-06-16,"AR(Ka/CHP)",3069,37.8189," N.  Oosterbaan"
"Lochem",1905-06-28,"AR(Ka/CHP)",3290,40.4276," N.  Oosterbaan"
"Enkhuizen",1909-06-11,"AR(Ka/CHU)",5074,51.0925," N.  Oosterbaan"
"Enkhuizen",1913-06-17,"AR(Ka/CHU)",5463,51.2717," N.  Oosterbaan"
"Enkhuizen",1917-06-15,"AR",NA,NA," N.  Oosterbaan"
"Katwijk",1897-06-15,"Ka",2297,43.8192,"jhr. J.W.J.C.M. van Nispen tot Sevenaer"
"Katwijk",1897-06-25,"Ka",2359,46.4187,"jhr. J.W.J.C.M. van Nispen tot Sevenaer"
"Loosduinen",1901-06-14,"Ka",2106,39.2764,"jhr. J.W.J.C.M. van Nispen tot Sevenaer"
"Loosduinen",1901-06-27,"Ka",2491,48.5291,"jhr. J.W.J.C.M. van Nispen tot Sevenaer"
"Druten",1905-06-16,"Ka",1295,32.7185,"jhr. J.W.J.C.M. van Nispen tot Sevenaer"
"Rheden",1909-06-11,"Ka",NA,NA,"jhr. J.W.J.C.M. van Nispen tot Sevenaer"
"Rheden",1913-06-17,"Ka(AR/CHU)",4564,79.526,"jhr. J.W.J.C.M. van Nispen tot Sevenaer"
"Katwijk",1897-06-15,"CHK",933,17.7986,"jhr. M. van den Brandeler"
"Utrecht II",1897-06-15,"SDAP",444,12.9939,"mr. P.J.  Troelstra"
"Tietjerksteradeel",1897-06-15,"SDAP",1149,27.0353,"mr. P.J.  Troelstra"
"Utrecht I",1897-06-15,"SDAP",442,9.5816,"mr. P.J.  Troelstra"
"Winschoten",1897-06-15,"SDAP",1216,28.4046,"mr. P.J.  Troelstra"
"Leeuwarden",1897-06-15,"SDAP",939,23.7722,"mr. P.J.  Troelstra"
"Winschoten",1897-06-25,"SDAP",2276,58.6296,"mr. P.J.  Troelstra"
"Leeuwarden",1897-06-25,"SDAP",1872,50.9388,"mr. P.J.  Troelstra"
"Tietjerksteradeel",1897-06-25,"SDAP(Lib)",2672,52.3511,"mr. P.J.  Troelstra"
"Tietjerksteradeel",1901-06-14,"SDAP",1247,22.8975,"mr. P.J.  Troelstra"
"Amsterdam VI",1901-06-14,"SDAP",230,6.9152,"mr. P.J.  Troelstra"
"Franeker",1901-06-14,"SDAP",1527,28.5527,"mr. P.J.  Troelstra"
"Zuidhorn",1901-06-14,"SDAP",723,15.1891,"mr. P.J.  Troelstra"
"Utrecht I",1901-06-14,"SDAP",935,18.7262,"mr. P.J.  Troelstra"
"Veendam",1901-07-30,"SDAP",1663,40.88,"mr. P.J.  Troelstra"
"Veendam",1901-08-07,"SDAP",2292,46.0333,"mr. P.J.  Troelstra"
"Tietjerksteradeel",1905-06-16,"SDAP",1469,20.3013,"mr. P.J.  Troelstra"
"Amsterdam III",1905-06-16,"SDAP",3837,48.2763,"mr. P.J.  Troelstra"
"Bodegraven",1905-06-16,"SDAP",330,4.163,"mr. P.J.  Troelstra"
"Goes",1905-06-16,"SDAP",216,4.0276,"mr. P.J.  Troelstra"
"Den Haag III",1905-06-16,"SDAP",406,5.6116,"mr. P.J.  Troelstra"
"Leiden",1897-06-15,"AR(Ka)",2029,50.7631," A.E. van Kempen"
"Leiden",1901-06-14,"AR(Ka)",2164,54.55," A.E. van Kempen"
"Lochem",1897-06-15,"AR(Ka)",2441,37.3642," G.J. ten Cate"
"Meppel",1897-06-15,"CHK",682,16.1267," A. ten Klooster"
"Steenwijk",1897-06-15,"Lib + protectionist",283,6.9567," J.  Bosch Bruist"
"Meppel",1897-06-15,"Lib",37,0.8749," J.  Bosch Bruist"
"Middelburg",1897-06-15,"SDAP",12,0.2013," G.T.W.  Kotte"
"Ommen",1897-06-15,"Lib",757,14.3698,"mr. E.E. van Riemsdijk"
"Oostburg",1897-06-15,"Lib",157,2.8061," J.  Lansen Croin"
"Rheden",1897-06-15,"Lib",646,13.0928," C.W.  Vrijland"
"Roermond",1901-06-14,"Ka",NA,NA,"mr. F.J.  Bolsius"
"Roermond",1905-06-16,"Ka",NA,NA,"mr. F.J.  Bolsius"
"Roermond",1909-06-11,"Ka",NA,NA,"mr. F.J.  Bolsius"
"Rotterdam I",1897-06-15,"AR(VA)",516,19.5677," T.  Tromp"
"Rotterdam I",1897-06-15,"SDAP",70,2.6545," L.  Goudswaard"
"Rotterdam III",1897-06-15,"AR",178,6.9153," P. van der Pols"
"Rotterdam IV",1905-06-16,"AR",42,0.6773," P. van der Pols"
"Rotterdam III",1897-06-15,"Rad",44,1.7094," T. de Rot"
"Rotterdam III",1897-06-15,"Lib",44,1.7094,"jhr.mr. J.L.  Stern"
"Rotterdam IV",1897-06-15,"AR(Ka/VA)",1166,36.1775,"dr. W.B. van Staveren"
"Rotterdam IV",1897-06-25,"AR(Ka)",1355,40.6297,"dr. W.B. van Staveren"
"Rotterdam II",1909-06-11,"AR(Ka/CHU)",4029,47.7709,"dr. W.B. van Staveren"
"Rotterdam II",1909-06-23,"AR(Ka/CHU)",4438,49.6088,"dr. W.B. van Staveren"
"Rotterdam II",1913-06-17,"AR(Ka/CHU)",4431,39.651,"dr. W.B. van Staveren"
"Rotterdam II",1913-06-25,"AR(Ka/CHU)",5322,46.4763,"dr. W.B. van Staveren"
"Sittard",1897-06-15,"Ka",2240,88.3629,"mr. C.C.M.H. baron van Bieberstein Rogalla Zawadsky"
"Sittard",1901-06-14,"Ka",1962,48.8789,"mr. C.C.M.H. baron van Bieberstein Rogalla Zawadsky"
"Sittard",1897-06-15,"Ka",292,11.5187," A.  Kamps"
"Sliedrecht",1897-06-15,"Lib",1005,23.0293," C.B.  Wisboom"
"Sneek",1897-06-15,"CHK",1205,26.6711," W.  Kroese"
"Steenwijk",1891-06-09,"Lib",1003,41.0897," J.  Meesters 2"
"Steenwijk",1894-04-10,"Lib(VT)",727,33.1358," J.  Meesters 2"
"Steenwijk",1894-04-24,"Lib(VT)",1323,57.3224," J.  Meesters 2"
"Steenwijk",1897-06-15,"Lib",1575,38.7168," J.  Meesters 2"
"Steenwijk",1897-06-25,"Lib(CHK)",2389,52.9829," J.  Meesters 2"
"Steenwijk",1897-06-15,"CHK(VA)",741,18.2153,"mr. J.G. van der Hoop"
"Tietjerksteradeel",1897-06-15,"AR",1867,43.9294," J.D. de Vries"
"Tietjerksteradeel",1897-06-25,"AR(Ka)",2432,47.6489," J.D. de Vries"
"Tilburg",1897-06-15,"Ka",1684,39.3642," A.H.A.  Arts"
"Tilburg",1905-06-16,"Ka(AR)",3202,70.4821," A.H.A.  Arts"
"Tilburg",1909-06-11,"Ka",4475,90.331," A.H.A.  Arts"
"Tilburg",1913-06-17,"Ka(AR/CHU)",4290,76.8404," A.H.A.  Arts"
"Tilburg",1917-06-15,"Ka",NA,NA," A.H.A.  Arts"
"Tilburg",1905-06-16,"Ka",779,17.1473," F.P.J.M. van Dooren"
"Utrecht I",1897-06-15,"AR(Ka)",1784,38.6733,"mr. N. de Ridder"
"Utrecht I",1897-06-25,"AR(Ka)",2020,41.3511,"mr. N. de Ridder"
"Groningen",1901-06-14,"AR",571,11.0147,"mr. N. de Ridder"
"Wijk bij Duurstede",1905-06-16,"AR(Ka/CHP)",4233,65.8628,"mr. N. de Ridder"
"Utrecht II",1905-06-16,"AR(Ka/CHP)",2422,46.1949,"mr. N. de Ridder"
"Utrecht II",1905-06-28,"AR(Ka/CHP)",2544,45.8378,"mr. N. de Ridder"
"Wijk bij Duurstede",1909-06-11,"AR(Ka/CHU)",4409,72.8279,"mr. N. de Ridder"
"Veendam",1897-06-15,"AR(Ka)",1467,32.7821," M.H.A. van der Valk"
"Appingedam",1901-06-14,"SDAP",1859,34.865," J.H.A.  Schaper"
"Veendam",1901-06-14,"SDAP",1927,48.9708," J.H.A.  Schaper"
"Appingedam",1901-06-27,"SDAP(VD)",3108,57.4067," J.H.A.  Schaper"
"Veendam",1901-06-27,"SDAP",2110,53.2559," J.H.A.  Schaper"
"Appingedam",1905-06-16,"SDAP",2838,39.5761," J.H.A.  Schaper"
"Appingedam",1905-06-28,"SDAP(Lib/VD)",4087,59.189," J.H.A.  Schaper"
"Appingedam",1909-06-11,"SDAP",2705,38.2928," J.H.A.  Schaper"
"Loosduinen",1909-06-11,"SDAP",320,4.1564," J.H.A.  Schaper"
"Appingedam",1909-06-23,"SDAP(Lib/VD)",3782,55.2278," J.H.A.  Schaper"
"Kampen",1913-06-17,"SDAP",371,5.2684," J.H.A.  Schaper"
"Loosduinen",1913-06-17,"SDAP",434,4.7998," J.H.A.  Schaper"
"Appingedam",1913-06-17,"SDAP",2747,34.5709," J.H.A.  Schaper"
"Appingedam",1913-06-25,"SDAP(VL/Lib/VD)",4495,58.9972," J.H.A.  Schaper"
"Appingedam",1917-06-15,"SDAP",NA,NA," J.H.A.  Schaper"
"Winschoten",1897-06-15,"Lib",1415,33.053,"dr. D.  Bos"
"Winschoten",1897-06-25,"Lib",1606,41.3704,"dr. D.  Bos"
"Veendam",1901-06-14,"VD(Lib)",1250,31.7662,"dr. D.  Bos"
"Winschoten",1901-06-14,"VD(Lib)",1314,33.8398,"dr. D.  Bos"
"Winschoten",1901-06-27,"VD(VL/Lib/Ka/VA)",2495,54.2509,"dr. D.  Bos"
"Veendam",1901-06-27,"VD(VL/Lib/Ka/VA)",1852,46.7441,"dr. D.  Bos"
"Winschoten",1905-06-16,"VD",2396,55.3093,"dr. D.  Bos"
"Winschoten",1909-06-11,"VD",2032,48.0947,"dr. D.  Bos"
"Winschoten",1909-06-23,"VD(VL/Lib/SDAP)",3309,72.5817,"dr. D.  Bos"
"Winschoten",1913-06-17,"VD",2396,41.9762,"dr. D.  Bos"
"Groningen",1913-06-17,"VD",3760,43.0157,"dr. D.  Bos"
"Groningen",1913-06-25,"VD(VL/Lib)",4171,55.6207,"dr. D.  Bos"
"Winschoten",1913-06-25,"VD(VL/Lib)",3172,55.5614,"dr. D.  Bos"
"Zaandam",1897-06-15,"AR",1045,18.298," J.  Windhouwer"
"Zaandam",1905-06-16,"AR(Ka/CHP)",1901,27.5427," J.  Windhouwer"
"Zaandam",1897-06-15,"Ka",657,11.5041," G.C.  Kamphuis"
"Zuidhorn",1897-06-15,"Lib",971,21.2426," R.  Boonstra"
"Zutphen",1897-06-15,"AR(Ka/VA)",2293,38.0328," H.W.C. de Jonge"
"Zwolle",1897-06-15,"Rad",1044,22.2222," J.  Hoven"
"Zwolle",1897-06-25,"Rad(Lib)",2175,46.022," J.  Hoven"
"Zwolle",1901-06-14,"VD",1206,28.2833," J.  Hoven"
"Zwolle",1897-06-15,"VL",814,17.3265,"mr. C. baron van Vos van Steenwijk"
"Tilburg",1901-06-14,"KD",590,15.8944," J.  Brinkhuis"
"Breda",1901-06-14,"KD",529,25.0949," J.  Brinkhuis"
"Bergen op Zoom",1905-06-16,"Ka",440,10.9753," J.  Brinkhuis"
"Eindhoven",1901-06-14,"Ka",1208,33.5929," A.F.C.M.  Raupp"
"Helmond",1901-06-14,"Ka",NA,NA," K.  Raymakers"
"Arnhem",1901-06-14,"AR(Ka)",1585,38.3128," J.S.F. van Hoogstraten"
"Arnhem",1901-06-27,"AR(Ka/VA)",1825,42.2356," J.S.F. van Hoogstraten"
"Utrecht II",1909-06-11,"AR(Ka/CHU)",2644,49.5409," J.S.F. van Hoogstraten"
"Utrecht II",1909-06-23,"AR(Ka/CHU)",2992,55.9148," J.S.F. van Hoogstraten"
"Utrecht II",1913-06-17,"AR(Ka/CHU)",3522,45.6336," J.S.F. van Hoogstraten"
"Utrecht II",1913-06-25,"AR(Ka/CHU)",3765,47.616," J.S.F. van Hoogstraten"
"Elst",1901-06-14,"SDAP",124,2.2912," B.  Reyndorp"
"Arnhem",1901-06-14,"SDAP",505,12.2069," B.  Reyndorp"
"Elst",1901-06-14,"Ka",353,6.5225,"mr. W. baron van Voorst tot Voorst"
"Elst",1901-08-20,"Ka",1167,26.5047,"mr. W. baron van Voorst tot Voorst"
"Lochem",1901-06-14,"AR(Ka)",2242,37.5544,"jhr.mr. H.W. van Asch van Wijck"
"Lochem",1901-06-27,"AR(Ka/VA)",2416,39.3037,"jhr.mr. H.W. van Asch van Wijck"
"Amersfoort",1901-08-20,"AR",2410,53.5675,"jhr.mr. H.W. van Asch van Wijck"
"Amersfoort",1905-06-16,"AR(Ka/CHP)",4485,52.6656,"jhr.mr. H.W. van Asch van Wijck"
"Amersfoort",1909-06-11,"AR(Ka/CHU)",4725,60.3988,"jhr.mr. H.W. van Asch van Wijck"
"Amersfoort",1913-06-17,"AR(Ka/CHU)",5118,46.9541,"jhr.mr. H.W. van Asch van Wijck"
"Amersfoort",1913-06-25,"AR(Ka/CHU)",5636,48.6449,"jhr.mr. H.W. van Asch van Wijck"
"Nijmegen",1901-06-14,"VD(Lib)",1197,31.9712,"mr. H.P. de Wilde"
"Tiel",1905-06-16,"VD",276,6.2799,"mr. H.P. de Wilde"
"Amsterdam V",1901-06-14,"SDAP",282,5.228," P.L.  Tak"
"Amsterdam I",1901-06-14,"SDAP",251,9.1206," P.L.  Tak"
"Zutphen",1901-06-14,"SDAP",389,7.9339," P.L.  Tak"
"Franeker",1905-06-16,"SDAP",2170,31.5407," P.L.  Tak"
"Amsterdam VIII",1905-06-16,"SDAP",214,7.1476," P.L.  Tak"
"Franeker",1905-06-28,"SDAP(Lib/VD)",3943,55.3637," P.L.  Tak"
"Zutphen",1901-06-14,"VL(Ka)",1758,35.8556," R.P.J.  Tutein Nolthenius"
"Zutphen",1901-06-27,"VL(Ka/AR)",2481,46.3305," R.P.J.  Tutein Nolthenius"
"Zutphen",1905-08-01,"NH(Ka/AR/CHP)",2835,41.7219," R.P.J.  Tutein Nolthenius"
"Zutphen",1905-08-08,"NH(Ka/AR)",2963,43.5671," R.P.J.  Tutein Nolthenius"
"Bodegraven",1901-06-14,"VA(Ka)",2034,33.7425,"mr. J.W.H.M. van Idsinga"
"Bodegraven",1901-06-27,"VA(Ka/AR)",3675,58.3426,"mr. J.W.H.M. van Idsinga"
"Bodegraven",1905-06-16,"CHP(Ka/AR)",4838,61.0319,"mr. J.W.H.M. van Idsinga"
"Bodegraven",1909-06-11,"CHU(Ka/AR)",4772,69.9604,"mr. J.W.H.M. van Idsinga"
"Bodegraven",1913-06-17,"CHU(Ka/AR)",5043,63.3225,"mr. J.W.H.M. van Idsinga"
"Bodegraven",1917-06-15,"CHU",NA,NA,"mr. J.W.H.M. van Idsinga"
"Rotterdam I",1901-06-14,"SDAP",248,8.8825," L.M.  Hermans"
"Brielle",1901-06-14,"SDAP",595,13.1929," L.M.  Hermans"
"Sliedrecht",1905-06-16,"SDAP",255,4.3382," L.M.  Hermans"
"Doetinchem",1905-06-16,"SDAP",428,4.1441," L.M.  Hermans"
"Arnhem",1909-06-11,"SDAP",1051,16.2971," L.M.  Hermans"
"Doetinchem",1909-06-11,"SDAP",838,8.2872," L.M.  Hermans"
"Tiel",1913-06-17,"SDAP",953,16.3409," L.M.  Hermans"
"Arnhem",1913-06-17,"SDAP",1933,24.3175," L.M.  Hermans"
"Rheden",1913-06-17,"SDAP",1175,20.474," L.M.  Hermans"
"Winschoten",1913-06-17,"SDAP",2303,40.3469," L.M.  Hermans"
"Doetinchem",1913-06-17,"SDAP",663,5.5204," L.M.  Hermans"
"Winschoten",1913-06-25,"SDAP",2537,44.4386," L.M.  Hermans"
"Brielle",1901-06-14,"AR(Ka)",1936,42.9268," H.C.  Vegtel"
"Brielle",1901-06-27,"AR(Ka/VA)",2386,49.3791," H.C.  Vegtel"
"Brielle",1909-06-11,"AR(Ka/CHU)",2632,42.6511," H.C.  Vegtel"
"Zierikzee",1909-06-11,"AR(Ka/CHU)",3402,44.6222," H.C.  Vegtel"
"Brielle",1909-06-23,"AR(Ka/CHU)",2927,44.6938," H.C.  Vegtel"
"Den Haag I",1901-06-14,"SDAP",681,16.7899," J.A.  Bergmeyer"
"Middelburg",1901-06-14,"SDAP",697,11.0547," J.A.  Bergmeyer"
"Dordrecht",1901-06-14,"SDAP",763,16.3488," J.A.  Bergmeyer"
"Rotterdam V",1901-06-14,"SDAP",141,5.1329," J.A.  Bergmeyer"
"Delft",1901-06-14,"SDAP",558,13.229," J.A.  Bergmeyer"
"Delft",1905-06-16,"SDAP",582,9.7049," J.A.  Bergmeyer"
"Middelburg",1905-06-16,"SDAP",523,6.3432," J.A.  Bergmeyer"
"Den Haag I",1905-06-16,"SDAP",1370,20.4875," J.A.  Bergmeyer"
"Zwolle",1909-06-11,"SDAP",752,12.007," J.A.  Bergmeyer"
"Ridderkerk",1909-06-11,"SDAP",151,1.9892," J.A.  Bergmeyer"
"Tiel",1909-06-11,"SDAP",313,7.3612," J.A.  Bergmeyer"
"Gorinchem",1909-06-11,"SDAP",182,2.4908," J.A.  Bergmeyer"
"Schoterland",1909-06-11,"SDAP",1756,36.4618," J.A.  Bergmeyer"
"Gouda",1909-06-11,"SDAP",543,6.6228," J.A.  Bergmeyer"
"Schoterland",1909-06-23,"SDAP",2125,45.3092," J.A.  Bergmeyer"
"Schoterland",1909-08-03,"SDAP",2219,47.3538," J.A.  Bergmeyer"
"Emmen",1913-06-17,"SDAP",1212,14.1539," J.A.  Bergmeyer"
"Gorinchem",1913-06-17,"SDAP",275,3.4806," J.A.  Bergmeyer"
"Tilburg",1913-06-17,"SDAP",443,7.9348," J.A.  Bergmeyer"
"Hilversum",1901-06-14,"SDAP",576,10.1498,"dr. H.  Gorter"
"Gouda",1901-06-14,"SDAP",213,4.4017,"dr. H.  Gorter"
"Hilversum",1905-06-16,"SDAP",791,9.6652,"dr. H.  Gorter"
"Enkhuizen",1905-06-16,"SDAP",124,1.3306,"dr. H.  Gorter"
"Groningen",1905-06-16,"SDAP",1230,18.8102,"dr. H.  Gorter"
"Gouda",1905-06-16,"SDAP",669,8.5648,"dr. H.  Gorter"
"Enschede",1913-06-17,"SDP",196,1.1663,"dr. H.  Gorter"
"Amsterdam II",1913-06-17,"SDP",56,1.4485,"dr. H.  Gorter"
"Amsterdam II",1913-07-22,"SDP",48,1.4406,"dr. H.  Gorter"
"Den Haag I",1901-06-14,"Lib",1307,32.2239,"mr. W.  Dolk"
"Den Haag I",1901-06-27,"Lib(VL/VD/SDAP)",2164,49.9077,"mr. W.  Dolk"
"Den Haag II",1905-06-16,"Lib",3362,44.7372,"mr. W.  Dolk"
"Den Haag II",1905-06-28,"Lib(VL/VD)",4529,56.9614,"mr. W.  Dolk"
"Den Haag II",1909-06-11,"Lib(VL)",3188,39.3775,"mr. W.  Dolk"
"Den Haag II",1909-06-23,"Lib(VL/VD/SDAP)",4719,51.6698,"mr. W.  Dolk"
"Den Haag II",1913-06-17,"Lib",3727,34.049,"mr. W.  Dolk"
"Den Haag II",1913-06-25,"Lib(VL/VD/SDAP)",6496,58.4909,"mr. W.  Dolk"
"Den Haag I",1901-06-14,"VL",344,8.4813,"mr. D. van Houten"
"Den Haag II",1901-06-14,"VD",164,3.5949," P.J. in de Betou"
"Den Haag II",1901-06-14,"Ka(AR)",1862,40.8154," W.B. van Liefland"
"Den Haag III",1901-06-14,"AR",767,16.9241," A.  Hoogenraad"
"Den Haag III",1901-06-14,"Lib(VL/Ka)",1331,29.3689," G.J.C.A.  Pop"
"Enschede",1901-06-14,"Ka(AR)",4256,43.2169,"mr. P.J.M.  Aalberse"
"Katwijk",1901-06-14,"Ka",2347,42.5953,"mr. P.J.M.  Aalberse"
"Katwijk",1901-06-27,"Ka",2574,45.7437,"mr. P.J.M.  Aalberse"
"Enschede",1901-06-27,"Ka(AR/VA)",4593,47.0691,"mr. P.J.M.  Aalberse"
"Almelo",1905-06-16,"Ka(AR/CHP)",5217,66.5179,"mr. P.J.M.  Aalberse"
