,Regio,Type,sub_election,RegioCode,RegioUitslag,Kandidaat,AantalStemmen,main_election,Electoraat,Geldig,no_of_candidates,number,voteshare,politician,seats,minvswinner,maxvswinner,margin,overleden,plaats,archiefnummer,found,opmerking,bron,,
1717,Amsterdam VI,algemeen,16/06/1905,KD112,,C. Ro�ll,1840,16/06/1905,5505,4391,3,2,0.4190389432931,0,1,0.539740378046003,0.539740378046003,0.120701434752903,24 maart 1907,Baarn,,,Burgemeester van Eemnes,https://nl.wikipedia.org/wiki/Cornelis_R%C3%B6ell,,
1755,Amsterdam VI,herstemming,27/06/1901,KD112,,H.W. van Marle,1556,14/06/1901,5148,3492,2,2,0.445589919816724,0,1,0.554410080183276,0.554410080183276,0.108820160366552,,,,,,,,
1762,Amsterdam VI,herstemming,23/06/1909,KD112,,H. Verkouteren,2188,11/06/1909,5857,4564,2,2,0.479404031551271,0,1,0.520595968448729,0.520595968448729,0.041191936897458,4 juni 1930,Amsterdam,,,"Politicus, Eerste Kamerlid",https://www.parlement.com/id/vg09llbvoha3/h_verkouteren,,
1786,Amsterdam VI,tussentijds,22/07/1913,KD112,,H. Verkouteren,1438,17/06/1913,6048,3844,3,2,0.374089490114464,0,NA,0.47684703433923,0.47684703433923,0.102757544224766,,,,,,,,
1878,Amsterdam VIII,algemeen,14/06/1901,KD114,,A.J.C.J.S. Bergsma,334,14/06/1901,2987,1907,5,3,0.175144205558469,0,NA,0.312532773990561,0.312532773990561,0.137388568432092,21-04-1902,Amsterdam,,,"Wethouder, directeur Imperial Continental Gas-Association",https://www.delpher.nl/nl/kranten/view?query=A.J.C.J.S.+Bergsma+overleden&coll=ddd&identifier=ddd:010991318:mpeg21:a0016&resultsidentifier=ddd:010991318:mpeg21:a0016,,
1960,Amsterdam,algemeen,1866-10-30,KD72,,H.J. Koenen,309,1866-10-30,4249,19871,18,13,0.015550299431332,0,6,0.086357002667204,0.152584167882844,0.070806703235871,,,,,,http://resources.huygens.knaw.nl/bwn1880-2000/lemmata/bwn3/koenen,,
1963,Amsterdam,algemeen,1866-10-30,KD72,,J. van Eik,299,1866-10-30,4249,19871,18,16,0.015047053495043,0,6,0.086357002667204,0.152584167882844,0.071309949172161,,,,,,,,
1964,Amsterdam,algemeen,1866-10-30,KD72,,C.F. G�lcher,277,1866-10-30,4249,19871,18,17,0.013939912435207,0,6,0.086357002667204,0.152584167882844,0.072417090231996,,,,,,,,
1965,Amsterdam,algemeen,1866-10-30,KD72,,C.P. van Eeghen,77,1866-10-30,4249,19871,18,18,0.003874993709426,0,6,0.086357002667204,0.152584167882844,0.082482008957778,,,,,,,,
1981,Amsterdam,algemeen,1868-01-22,KD72,,J. Wertheim,1193,1868-01-22,4322,17442,13,11,0.068398119481711,0,6,0.085425983258801,0.159672055956886,0.01702786377709,,,,,,,,
1997,Amsterdam,algemeen,1884-10-28,KD72,,W. Hovy,834,1884-10-28,5595,23580,18,9,0.035368956743003,0,7,0.080152671755725,0.105894826123834,0.044783715012723,,,,,,,,
2000,Amsterdam,algemeen,1884-10-28,KD72,,A.W. van Beeck Calkoen,777,1884-10-28,5595,23580,18,12,0.03295165394402,0,7,0.080152671755725,0.105894826123834,0.047201017811705,,,,,,,,
