Indexnummer,Re,Dugobo,Fogobo,Duprbo,Foprbo,Dush,Fosh,Cash,Misc,Debt,TA11,TL11,NW11,TA0,TL0,NW0,W_DEFLATED,W_DEFLATED2
00791,89540,0,39900,1042,0,1440,0,1704,4842,-825,138459.12,-533.255,68142.645,69233.96,-1091.92,68142.04,67650.8070526817,67651.4076912635
00796,15000,1221,69,834,112,19310,0,3670,0,-6995.71,38390.11,-6995.71,15697.16,19195.05,-3907.09,15287.96,10170.7209697555,10442.9521255686
00797,220352,430414,121841,308163,33950,1567556,55657,1200,12983,-76925.5,2611639.52,-76925.5,2534704.48,2625429.19,-90155.08,2535274.1,1829589.86943675,1829178.80107084
00802,0,4058,2769,43907,11937,22433,9255,1710,5969,-2036.35,102094.76,-2036.35,100058.41,102094.75,-2056.55,100058.41,69210.7477875675,69210.7477875675
00808,0,5717.5,71039.42,47160.82,0,62369.615,0,3564.28,4570.445,-95345.255,39434.045,-18025.27,21408.775,39434.045,-18025.27,21408.775,18194.6546483214,18194.6546483214
00809,0,21736.5,2416.3,18136,644,33.65,1,1591.8,6426,-1736,50985,-2281,45705,50985.07,-2280.07,48705,27928.9628503746,26208.6694810876
00810,4500,0,54880,12852,64302,114416,53305,2240,11653,-188026.05,158240.87,-94013.025,64227.84,159606.03,-94468.67,63137.36,72430.1981734997,73681.1798823364
00815,69956,0,3,6051,2262,58924.8,6474,1020,23872,-28099.5,168520.69,-28099.5,140421.18,168520.69,-28099.5,140421.18,102237.634890956,102237.634890956
00818,231268.16,5628,61058.86,236817.17,27935.625,32984.375,8329.5,4990.15,10127.5,-89065.415,456496.815,-88867.865,367628.95,456496.815,-88867.865,367628.95,371136.886864575,371136.886864575
00822,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Err:520,Err:520
00824,257000,0,81185,166184,17716,47190,0,1531,29029,-3790,599834,-13603,586231,599747,-13603,526144,533532.319277152,594463.08436885
00825,312655,0,203378,49489,4965,66499.25,0,1832,24637,-4133.74,636466.83,-4133.74,63233.09,663491.32,-4133.74,659357.58,654604.300418701,62777.24545574
00828,39300,901,109549.52,51908,13342,37747,13409,0,10301,-1303.87,277130.31,-1303.87,275826.44,277471.05,-1311.27,276159.77,296152.730116324,295795.268240071
00835,37502.08,14236,76,69074,0,88250,0,5091.78,8783.25,-34450.62,214511.7,-34450.6,86544.37,107255.85,-20711.47,86544.38,53429.01959863,53429.0134250322
