"District","Dag","Maand","Jaar","Type","Electoraat","Opkomst","Stembriefjes","Geldig","Blanco"
"Amsterdam","14","6","1864","periodiek","4441","1762","1762","5240","22"
"Leiden","14","6","1864","periodiek","2654","1689","1689","1680","8"
"Gouda","14","6","1864","periodiek","3414","2380","2378","2373","5"
"Delft","14","6","1864","periodiek","2763","1743","1745","1651","81"
"Rotterdam","14","6","1864","periodiek","2959","1487","1487","1474","11"
"Den Haag","14","6","1864","periodiek","2200","1376","1376","1365","8"
"Dordrecht","14","6","1864","periodiek","2168","1044","1044","1014","16"
"Gorinchem","14","6","1864","periodiek","3029","1888","1888","1869","10"
"Middelburg","14","6","1864","periodiek","2711","1411","1411","1367","13"
"Goes","14","6","1864","periodiek","1339","966","966","930","6"
"Breda","14","6","1864","periodiek","3729","2030","2030","1901","24"
"Tilburg","14","6","1864","periodiek","3138","1060","1059","1027","13"
"Eindhoven","14","6","1864","periodiek","2283","1081","1081","1073","8"
"Maastricht","14","6","1864","periodiek","2191","1557","1557","1522","28"
"Roermond","14","6","1864","periodiek","1768","1524","1524","1486","14"
"Boxmeer","14","6","1864","periodiek","1162","726","726","710","15"
"Den Bosch","14","6","1864","periodiek","2893","1019","1019","995","22"
"Leeuwarden","28","6","1864","herstemming","3020","1630","1630","1619","6"
"Sneek","28","6","1864","herstemming","2919","2139","2139","2128","11"
"Deventer","28","6","1864","herstemming","2598","1698","1699","1680","6"
"Hoorn","28","6","1864","herstemming","3368","1574","1575","1559","6"
"Haarlem","28","6","1864","herstemming","2395","1529","1530","1514","15"
"Amsterdam","28","6","1864","herstemming","4441","2534","2532","5033","11"
"Dordrecht","28","6","1864","herstemming","2168","1670","1671","1662","7"
"Gorinchem","28","6","1864","herstemming","3029","1903","1904","1870","25"
"Goes","28","6","1864","herstemming","1339","1039","1039","1028","4"
"Winschoten","18","7","1864","tussentijds","1175","499","499","499","0"
"Hoorn","21","7","1864","tussentijds","3368","1231","1231","1201","2"
"Winschoten","2","8","1864","herstemming","1175","516","516","514","2"
"Hoorn","4","8","1864","herstemming","3368","1729","1730","1725","4"
"Amsterdam","3","11","1864","tussentijds","4441","1610","1604","1578","24"
"Middelburg","17","1","1865","tussentijds","2711","1514","1514","1483","6"
"Dokkum","21","2","1865","tussentijds","2434","1514","1514","1506","8"
"Dokkum","7","3","1865","herstemming","2434","1622","1622","1605","12"
"Arnhem","2","5","1865","tussentijds","2892","1584","1585","1543","31"
"Haarlem","9","5","1865","tussentijds","2507","1001","1001","984","17"
"Eindhoven","12","9","1865","tussentijds","2268","800","801","791","5"
"Leeuwarden","15","11","1865","tussentijds","3063","1348","1348","1297","6"
"Leeuwarden","29","11","1865","herstemming","3063","1573","1573","1561","12"
"Maastricht","12","12","1865","tussentijds","2389","1639","1641","1608","30"
"Groningen","1","3","1866","tussentijds","1463","753","753","752","1"
"Zutphen","1","3","1866","tussentijds","2763","1621","1621","1600","15"
"Zutphen","26","3","1866","tussentijds","2763","1448","1448","1424","14"
"Zuidhorn","12","6","1866","periodiek","1341","467","468","465","0"
"Appingedam","12","6","1866","periodiek","3058","1075","1075","1056","8"
"Winschoten","12","6","1866","periodiek","1156","345","346","343","3"
"Assen","12","6","1866","periodiek","2247","893","893","887","2"
"Leeuwarden","12","6","1866","periodiek","3063","1613","1613","1603","6"
"Sneek","12","6","1866","periodiek","2958","1753","1753","1733","8"
"Dokkum","12","6","1866","periodiek","2397","1438","1438","1426","10"
"Zwolle","12","6","1866","periodiek","2701","1784","1785","1759","9"
"Zwolle","12","6","1866","tussentijds","2701","1784","1785","1766","10"
"Almelo","12","6","1866","periodiek","1844","858","859","845","8"
"Deventer","12","6","1866","periodiek","2631","1064","1064","1035","11"
"Zutphen","12","6","1866","periodiek","2763","1289","1289","1261","24"
"Arnhem","12","6","1866","periodiek","2892","1531","1531","1514","16"
"Nijmegen","12","6","1866","periodiek","2481","1148","1149","1115","28"
"Tiel","12","6","1866","periodiek","1627","893","895","887","6"
"Amersfoort","12","6","1866","periodiek","2804","1245","1245","1205","14"
"Utrecht","12","6","1866","periodiek","2944","1741","1742","1718","1"
"Hoorn","12","6","1866","periodiek","3489","1043","1043","1033","8"
"Alkmaar","12","6","1866","periodiek","3036","1126","1126","1117","4"
"Haarlem","12","6","1866","periodiek","2507","1056","1057","1042","8"
"Amsterdam","12","6","1866","periodiek","4249","1647","1654","4914","13"
"Leiden","12","6","1866","periodiek","2643","1383","1383","1363","17"
"Leiden","12","6","1866","tussentijds","2643","1377","1377","1340","22"
"Gouda","12","6","1866","periodiek","3528","1849","1849","1838","7"
"Delft","12","6","1866","periodiek","2759","1483","1483","1464","18"
"Rotterdam","12","6","1866","periodiek","2935","1690","1691","1666","18"
"Den Haag","12","6","1866","periodiek","2237","1479","1479","1463","13"
"Dordrecht","12","6","1866","periodiek","2165","1477","1477","1422","8"
"Gorinchem","12","6","1866","periodiek","3009","1510","1512","1467","29"
"Middelburg","12","6","1866","periodiek","2693","1300","1299","1261","13"
"Zierikzee","12","6","1866","periodiek","1288","931","931","904","9"
"Breda","12","6","1866","periodiek","3782","1528","1528","1428","30"
"Tilburg","12","6","1866","periodiek","3095","944","944","930","13"
"Eindhoven","12","6","1866","periodiek","2268","1046","1047","1038","7"
"Maastricht","12","6","1866","periodiek","2389","1073","1073","1039","25"
"Roermond","12","6","1866","periodiek","1932","1593","1596","1568","11"
"Den Bosch","12","6","1866","periodiek","2920","1114","1114","1092","21"
"Assen","26","6","1866","herstemming","2247","1125","1125","1120","2"
"Zwolle","26","6","1866","herstemming","2701","1771","1770","1740","22"
"Arnhem","26","6","1866","tussentijds","2892","1471","1471","1459","9"
"Utrecht","26","6","1866","herstemming","2944","1236","1236","1214","15"
"Delft","26","6","1866","herstemming","2759","1639","1642","1630","6"
"Haarlem","28","8","1866","tussentijds","2507","931","931","918","4"
"Leiden","18","9","1866","tussentijds","2643","1138","1138","1119","16"
"Zuidhorn","30","10","1866","algemeen","1341","709","709","707","1"
"Groningen","30","10","1866","algemeen","1463","894","893","891","1"
"Appingedam","30","10","1866","algemeen","3058","1814","1814","3584","34"
"Winschoten","30","10","1866","algemeen","1156","614","615","566","3"
"Assen","30","10","1866","algemeen","2247","1421","1421","2773","67"
"Leeuwarden","30","10","1866","algemeen","3063","2333","2333","4641","21"
"Sneek","30","10","1866","algemeen","2958","2379","2381","4735","27"
"Dokkum","30","10","1866","algemeen","2397","1789","1790","3541","31"
"Steenwijk","30","10","1866","algemeen","1455","870","870","843","1"
"Zwolle","30","10","1866","algemeen","2701","1926","1926","3806","46"
"Almelo","30","10","1866","algemeen","1844","1478","1479","2870","80"
"Deventer","30","10","1866","algemeen","2631","1985","1985","3841","115"
"Zutphen","30","10","1866","algemeen","2763","2292","2292","4510","52"
"Arnhem","30","10","1866","algemeen","2892","2195","2196","4225","165"
"Nijmegen","30","10","1866","algemeen","2481","1682","1682","3268","90"
"Tiel","30","10","1866","algemeen","1627","1178","1180","1177","1"
"Amersfoort","30","10","1866","algemeen","2804","2242","2241","4445","29"
"Utrecht","30","10","1866","algemeen","2944","2212","2212","4362","48"
"Hoorn","30","10","1866","algemeen","3489","2304","2305","4558","38"
"Alkmaar","30","10","1866","algemeen","3036","2264","2264","4498","26"
"Haarlem","30","10","1866","algemeen","2507","1773","1775","3516","16"
"Amsterdam","30","10","1866","algemeen","4249","3341","3341","19871","109"
