"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"31","Tilburg(12/12/1901)",NA,"2399","49.2103%","' A.L.J. van Waesberghe'"
"32","Lochem(13/08/1901)","Ka","122","3.4434%","' J.P.  Vemer'"
"33","Gouda(30/07/1901)",NA,"109","2.3118%","' A.M.  Hoogendijk Ez.'"
"34","Arnhem(15/06/1897)","","567","13.4936%","' A.D.P.V. van Löben Sels'"
"35","Sliedrecht(20/08/1901)","AR","2166","65.3986%","' A.D.P.V. van Löben Sels'"
"36",NA,NA,NA,NA,NA
"37","Weststellingwerf(06/08/1901)","Lib","14","0.4341%","' J.  Veenhoven'"
"38","Veendam(30/07/1901)","AR","1036","25.4671%","' F.H.  Boels'"
"39","Veendam(30/07/1901)",NA,"12","0.295%","' H.N.  Schuitema'"
"40","Gouda(22/10/1902)","","1479","31.3813%","'mr. M.M.  Schim van der Loeff'"
"41","Dordrecht(17/06/1913)","Lib","2751","33.1007%","'mr. M.M.  Schim van der Loeff'"
"42","Dordrecht(25/06/1913)","Lib(VL/VD/SDAP)","4634","55.3115%","'mr. M.M.  Schim van der Loeff'"
"43","Gouda(22/10/1902)",NA,"2431","51.5807%","'mr. S. de Vries Cz.'"
"44","Gouda(16/06/1905)",NA,"3680","47.113%","'mr. S. de Vries Cz.'"
"45","Amsterdam VIII(16/06/1905)",NA,"1391","46.4596%","'mr. S. de Vries Cz.'"
"46","Gouda(28/06/1905)",NA,"3963","48.4711%","'mr. S. de Vries Cz.'"
"47","Amsterdam VIII(28/06/1905)",NA,"1540","45.3208%","'mr. S. de Vries Cz.'"
"48","Arnhem(07/09/1905)",NA,"1859","37.054%","'mr. S. de Vries Cz.'"
"49","Arnhem(14/09/1905)",NA,"2404","45.0272%","'mr. S. de Vries Cz.'"
"50","Sneek(04/12/1907)",NA,"3599","63.5978%","'mr. S. de Vries Cz.'"
"51","Den Haag II(11/09/1902)",NA,"1883","49.3449%","'jhr.mr. W.T.  Gevers Deynoot 2'"
"52","Den Haag II(11/09/1902)",NA,"17","0.4455%","' P.H. van der Kemp'"
"53","Leiden(25/11/1902)",NA,"264","6.902%","'jhr. L. van den Berch van Heemstede'"
