,amco,year,name,totaal personele belastingen,total_inhabitants,taxes_percap
143,10027,1879,Tiel,18693.0,8933.0,2.0925780812716894
144,10027,1889,Tiel,19616.0,4948.0,3.9644300727566693
145,10027,1933,Tiel,,12596.0,
146,10027,1934,Tiel,,12647.0,
147,10028,1859,Valkenburg Zh,889.0,312.6666666666667,2.843283582089552
148,10028,1869,Valkenburg Zh,991.0,459.0,2.159041394335512
149,10028,1870,Valkenburg Zh,911.0,475.0,1.9178947368421053
150,10028,1879,Valkenburg Zh,1038.0,469.0,2.213219616204691
151,10028,1889,Valkenburg Zh,1113.0,287.0,3.8780487804878048
152,10028,1933,Valkenburg Zh,,1000.0,
153,10028,1934,Valkenburg Zh,,1007.0,
154,10029,1859,Koudekerk Aan Den Rijn,3227.0,829.3333333333334,3.891077170418006
155,10029,1869,Koudekerk Aan Den Rijn,3368.0,1356.0,2.4837758112094397
156,10029,1870,Koudekerk Aan Den Rijn,3356.0,1329.0,2.525206922498119
157,10029,1879,Koudekerk Aan Den Rijn,3338.0,1351.0,2.4707623982235383
158,10029,1889,Koudekerk Aan Den Rijn,3220.0,734.0,4.386920980926431
159,10029,1933,Koudekerk Aan Den Rijn,,1890.0,
160,10029,1934,Koudekerk Aan Den Rijn,,1834.0,
161,10030,1859,Brouwershaven,2314.0,1046.6666666666667,2.210828025477707
162,10030,1869,Brouwershaven,2682.0,1743.0,1.5387263339070567
163,10030,1870,Brouwershaven,2797.0,1803.0,1.5513033832501386
164,10030,1879,Brouwershaven,3261.0,1778.0,1.8340832395950506
165,10030,1889,Brouwershaven,3173.0,726.5,4.367515485203028
166,10030,1933,Brouwershaven,,1226.0,
167,10030,1934,Brouwershaven,,1245.0,
168,10031,1859,Pijnacker,2441.0,972.6666666666666,2.509595613433859
169,10031,1869,Pijnacker,2700.0,1807.0,1.4941892639734367
170,10031,1870,Pijnacker,2691.0,1814.0,1.4834619625137817
171,10031,1879,Pijnacker,3485.0,1698.0,2.052414605418139
172,10031,1889,Pijnacker,3441.0,786.0,4.377862595419847
173,10031,1933,Pijnacker,,6265.0,
174,10031,1934,Pijnacker,,6394.0,
175,10033,1859,Montfoort,2017.0,1120.0,1.800892857142857
176,10033,1869,Montfoort,2169.0,1831.0,1.1845985800109229
177,10033,1870,Montfoort,2613.0,1831.0,1.4270890223921355
178,10033,1879,Montfoort,2730.0,1901.0,1.4360862703840085
179,10033,1889,Montfoort,2802.0,920.5,3.0439978272677894
180,10033,1933,Montfoort,,2021.0,
181,10033,1934,Montfoort,,2068.0,
182,10035,1859,Tienhoven U,203.0,279.3333333333333,0.7267303102625299
183,10035,1869,Tienhoven U,335.0,480.0,0.6979166666666666
184,10035,1870,Tienhoven U,346.0,462.0,0.7489177489177489
185,10035,1879,Tienhoven U,390.0,462.0,0.8441558441558441
186,10035,1889,Tienhoven U,469.0,262.0,1.7900763358778626
187,10035,1933,Tienhoven U,,572.0,
188,10035,1934,Tienhoven U,,590.0,
189,10036,1859,Gaasterlan-Sleat,,0.0,
190,10036,1859,Gaasterland,5967.0,2724.3333333333335,2.1902606142175456
191,10036,1869,Gaasterlan-Sleat,,0.0,
192,10036,1869,Gaasterland,7161.0,4457.0,1.6066861117343505
193,10036,1870,Gaasterlan-Sleat,,0.0,
194,10036,1870,Gaasterland,7546.0,4489.0,1.6809979950991312
195,10036,1879,Gaasterlan-Sleat,,0.0,
196,10036,1879,Gaasterland,8404.0,5289.0,1.588958215163547
197,10036,1889,Gaasterlan-Sleat,,0.0,
198,10036,1889,Gaasterland,8764.0,2796.5,3.1339173967459324
199,10036,1933,Gaasterlan-Sleat,,0.0,
200,10036,1933,Gaasterland,,5945.0,
201,10036,1934,Gaasterlan-Sleat,,0.0,
202,10036,1934,Gaasterland,,5997.0,
203,10037,1859,Gameren,1065.0,961.3333333333334,1.1078363384188628
204,10037,1869,Gameren,1244.0,1547.0,0.8041370394311571
205,10037,1870,Gameren,1145.0,1518.0,0.7542819499341239
206,10037,1879,Gameren,1204.0,1643.0,0.7328058429701765
207,10037,1889,Gameren,1418.0,845.0,1.6781065088757396
208,10037,1933,Gameren,,1927.0,
209,10037,1934,Gameren,,1944.0,
210,10038,1859,Hoek,1918.0,991.3333333333334,1.9347679892400806
211,10038,1869,Hoek,1998.0,1578.0,1.2661596958174905
212,10038,1870,Hoek,2192.0,1590.0,1.3786163522012578
213,10038,1879,Hoek,2557.0,1856.0,1.3776939655172413
214,10038,1889,Hoek,2657.0,987.5,2.690632911392405
215,10038,1933,Hoek,,2706.0,
216,10038,1934,Hoek,,2686.0,
217,10040,1859,Zonnemaire,1018.0,286.3333333333333,3.5552968568102448
218,10040,1869,Zonnemaire,1653.0,970.0,1.7041237113402061
219,10040,1870,Zonnemaire,1830.0,996.0,1.8373493975903614
220,10040,1879,Zonnemaire,2307.0,1053.0,2.190883190883191
221,10040,1889,Zonnemaire,2122.0,525.0,4.041904761904762
222,10040,1933,Zonnemaire,,873.0,
223,10040,1934,Zonnemaire,,870.0,
224,10042,1859,Wamel,3743.0,2795.3333333333335,1.3390174099689958
225,10042,1859,West Maas En Waal,,0.0,
226,10042,1869,Wamel,4089.0,4572.0,0.8943569553805775
227,10042,1869,West Maas En Waal,,0.0,
228,10042,1870,Wamel,4148.0,4607.0,0.9003690036900369
229,10042,1870,West Maas En Waal,,0.0,
230,10042,1879,Wamel,4775.0,4741.0,1.007171482809534
231,10042,1879,West Maas En Waal,,0.0,
232,10042,1889,Wamel,5638.0,2461.0,2.2909386428281184
233,10042,1889,West Maas En Waal,,0.0,
234,10042,1933,Wamel,,6013.0,
235,10042,1933,West Maas En Waal,,0.0,
236,10042,1934,Wamel,,6046.0,
237,10042,1934,West Maas En Waal,,0.0,
238,10043,1859,Borsele,1364.0,589.3333333333334,2.3144796380090495
239,10043,1869,Borsele,1538.0,995.0,1.5457286432160804
240,10043,1870,Borsele,1600.0,1008.0,1.5873015873015872
241,10043,1879,Borsele,2041.0,1081.0,1.8880666049953747
242,10043,1889,Borsele,2009.0,523.5,3.8376313276026743
243,10043,1933,Borsele,,1461.0,
244,10043,1934,Borsele,,1462.0,
245,10045,1859,Sevenum,760.0,1220.3333333333333,0.6227806610215788
246,10045,1869,Sevenum,850.0,1977.0,0.42994436014162873
247,10045,1870,Sevenum,848.0,1972.0,0.4300202839756592
248,10045,1879,Sevenum,1021.0,2102.0,0.4857278782112274
249,10045,1889,Sevenum,1083.0,1042.5,1.0388489208633094
250,10045,1933,Sevenum,,3083.0,
251,10045,1934,Sevenum,,3164.0,
252,10046,1859,Zevenbergen,6784.0,3438.0,1.973240255962769
253,10046,1869,Zevenbergen,7749.0,5934.0,1.3058645096056622
254,10046,1870,Zevenbergen,8211.0,5959.0,1.3779157576774628
255,10046,1879,Zevenbergen,11486.0,6462.0,1.7774682760755185
256,10046,1889,Zevenbergen,10745.0,3281.0,3.2749161840902166
257,10046,1933,Zevenbergen,,8649.0,
258,10046,1934,Zevenbergen,,8740.0,
259,10047,1859,"Soerendonk, Sterksel En Gastel",265.0,596.6666666666666,0.4441340782122905
260,10047,1869,"Soerendonk, Sterksel En Gastel",274.0,867.0,0.3160322952710496
261,10047,1870,"Soerendonk, Sterksel En Gastel",323.0,861.0,0.37514518002322883
262,10047,1879,"Soerendonk, Sterksel En Gastel",434.0,923.0,0.47020585048754066
