politician,vote,law,date,house,b1_nummer
Reekers,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01091
Poelman,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01042
Dobbelmann,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00318
Gerritsen,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00450
Farncombe Sanders,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00397
Heemskerk,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00540
Harte,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00607
de Ras,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01085
"G. 
Dedem",0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00294
van Karnebeek,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00676
Vermeulen,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01422
van Löben Sels,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00833
van den Berch van Heemstede,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00087
Mutsaers,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00951
"de Geer 
Jutfaas",0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00438
van Vlijmen,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01458
van Bylandt,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00245
Haffmans,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00508
Beelaerts van Blokland,0,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00076
K. ter Laan,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00773
Duys,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00357
Gerhard,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00447
Nierstrasz,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00967
van Vliet,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01454
Roodenburg,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01124
Helsdingen,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00557
Rink,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01113
Juten,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00665
van Wijnbergen,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01583
Teenstra,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01344
Vliegen,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01451
Hugenholtz,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00615
Patijn,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01023
Aalberse,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00001
Heeres,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00544
Eerdmans,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00369
van den Berch van Heemstede,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00087
Jannink,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00634
Ruys de Beerenbrouck,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01152
Beumer,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00106
van Deventer,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00303
de Savornin Lohman,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01177
Dolk,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00325
Roodhuyzen,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01125
Fock,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00410
de Muralt,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00949
van Raalte,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01075
Nolens,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00981
van Vollenhoven,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01460
Bos,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00175
Schim van der Loeff,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00835
J.W.J.C.M. van Nispen tot Sevenaer,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00975
Hubrecht,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00613
de Jong,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00655
O.F.A.M. van Nispen tot Sevenaer,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00977
Marchant,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00875
de Beaufort,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00071
Rutgers,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01147
Eleskens,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00408
Duynstee,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00356
Janssen,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00638
de Meester,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00892
Boissevain,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00152
Otto,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01009
Gerretson,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00448
Tydeman,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01384
van Wichen,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01538
Smeenge,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01269
Lieftinck,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00815
Schimmelpenninck,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01201
Visser van IJzendcorn,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01445
Albarda,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00011
van de Velde,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01400
Schaper,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01189
Jansen,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00635
ter Spul,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01375
Limburg,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00822
de Geer,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00432
J. ter Laan,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00772
van Bijlandt,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00245
Sannes,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01170
Knobel,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00709
Bichon van IJsselmonde,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00111
Koolen,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00733
Oosterbaan,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01003
Spiekman,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01288
Goeman Borgesius,1,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00469
Brummelkamp,0,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00228
