politician,vote,law,date,house,b1_nummer,re,dugobo,fogobo,duprbo,foprbo,dush,fosh,cash,misc,debt,ta11,tl11,nw11,ta0,tl0,nw0,w_deflated,begin_periode,einde_periode,class,date_of_birth,date_of_death,tenure,age_of_death,age_of_entrance,age_of_vote,long_elec_horiz,kiesdistrict,strikes,rk_pct,hervormd_pct,gereformeerd_pct,overig_pct,kiesdistrict_corrected,aandeel_gem,percentage_aangesl,industry_share,services_share,agricul_share,side,kiesgerechtigden,opkomst,turnout,socialistdum,socialistpercentage,truename,aantal_stemmen,ncm,tvs,total,share_re,share_dugobo,share_fogobo,share_duprbo,share_foprbo,share_dush,share_fosh,share_cash,share_misc,share_bonds,share_shares,share_domestic,share_foreign,wealth_timevote
Godefroi,1,Kieswet 1872,1874-06-19,Tweede Kamer,00464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1849-02-13,1881-09-22,liberal,1813-12-16,1882-06-25,9257,25028,12843,22100,2652,Amsterdam,6,22.9,40.2,8.1,28.7,AMSTERDAM,12.03224,6.13,0.298372234843154,0.695784161958947,0.00584360319789845,1873-06-24,4019,1320,0.328439910425479,0,0,M.H. Godefroi,1020,0.1422172452407615,0.5711086226203808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cremers,1,Kieswet 1872,1874-06-19,Tweede Kamer,00280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1869-12-13,1891-01-17,liberal,1823-06-15,1896-10-27,1649,26798,16983,18632,6056,Zuidhorn,0,3.2,59,32.2,5.6,ZUIDHORN,0.0583,4.58,NA,NA,NA,1873-06-10,1506,429,0.2848605577689243,0,0,E.J.J.B. Cremers,317,0.5771144278606966,0.7885572139303483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
van Houten,1,Kieswet 1872,1874-06-19,Tweede Kamer,00607,44734,5858,3600,120977.5,40603,235994,16692,426,12745,-7381.44,481444.36,-7381.44,451163.26,462162.19,-11412,450750.19,277948.34281128657,1869-02-24,1894-03-19,liberal,1837-02-17,1930-10-14,1941,34206,11695,13636,7213,Groningen,0,10.5,60.9,14.9,13.7,GRONINGEN,1.56159,5.62,0.239074431870457,0.73889042230196,0.022035145827583,1871-06-13,1529,759,0.49640287769784175,0,0,S. van Houten,412,0.020139426800929512,0.06382649109217661,481629.5,0.09288052330681572,0.012162876235778747,0.007474625204643819,0.25118374185966597,0.08430339088448693,0.4899907501513093,0.03465734553219851,8.844973158828518e-4,0.026462249509218185,0.35512463418457546,0.5246480956835078,0.753337368246754,0.12643536162132926,34996.62116874238
Blusse,1,Kieswet 1872,1874-06-19,Tweede Kamer,00130,41239,46868.9,39013.46,63274.65,0,31433,4150,0,8900,-85100.36,234790.69,-85100.36,149690.53,234770,-85100,149670,104880.09913397765,1862-04-24,1876-02-09,confessional,1809-10-03,1877-01-15,4439,24576,19196,23635,600,Rotterdam,0,26.9,55.7,7.5,10,ROTTERDAM,5.11721,4.4,0.279048857111906,0.707138988191962,0.0138121546961326,1873-09-30,2666,1028,0.38559639909977494,0,0,F.W.C. Blom,825,0.0019904458598726115,0.3284235668789809,234879.01,0.17557550161676855,0.1995448635448523,0.16610024028967083,0.2693925268162532,0,0.13382634744586158,0.017668671202250043,0,0.03789184908434347,0.6350376306507763,0.15149501864811163,0.602763737806967,0.18376891149192087,88248.94098516344
Rutgers van Rozenburg,1,Kieswet 1872,1874-06-19,Tweede Kamer,01148,497152,11003,143154,198358,0,145724,0,17285,28227,-2761,936347.255,-3789.985,932557.27,936372.255,-3789.985,932582.27,844663.3662986878,1869-09-21,1897-09-20,liberal,1830-08-10,1902-10-31,1732,26379,14287,16019,8494,Haarlemmermeer,0,41.6,43.2,9.7,10.6,HAARLEMMERMEER,0.1773,4.18,0.449591280653951,0.148337874659401,0.402070844686648,1871-06-13,1354,896,0.6617429837518464,0,0,J.W.H. Rutgers van Rozenburg,478,0.021921975662133143,0.04277022190408017,1040903,0.4776160698931601,0.010570629539928312,0.13752866501489572,0.19056338582941926,0,0.13999767509556607,0,0.016605774025053248,0.027117800601977323,0.3386626803842433,0.13999767509556607,0.34113169046491365,0.13752866501489572,273831.6246590786
de Lange,1,Kieswet 1872,1874-06-19,Tweede Kamer,00784,17140,18524,36105,117458,7827,8827,4279,1278,10202,-3829,225221.125,-4324.875,220896.25,225221.125,-1840.575,223380.55,212539.4474970895,1869-09-20,1877-09-16,liberal,1815-02-27,1892-12-06,1733,28407,19929,21662,1185,Amsterdam,6,22.9,40.2,8.1,28.7,AMSTERDAM,12.03224,6.13,0.298372234843154,0.695784161958947,0.00584360319789845,1873-06-24,4019,1320,0.328439910425479,0,0,M.J. de Lange,860,0.003005432897930875,0.09941047277771356,221640,0.07733261144197798,0.0835769716657643,0.16289929615592852,0.5299494676051254,0.03531402273957769,0.039825843710521565,0.01930608193466883,0.005766107200866269,0.046029597545569394,0.811739758166396,0.059131925645190396,0.6533522829814113,0.21751940083017507,107686.37871770964
Teding van Berkhout,1,Kieswet 1872,1874-06-19,Tweede Kamer,01343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1873-09-15,1880-07-24,confessional,1814-12-04,1880-07-25,277,23975,21470,21747,2227,Gorinchem,0,6.9,77.7,13.5,1.9,GORINCHEM,0.31912,5.02,0.251008303677343,0.656939501779359,0.0920521945432977,1873-06-24,3230,2400,0.7430340557275542,0,0,J.J. Teding van Berkhout,1325,0.053727856725715395,0.2579326455129453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smidt,1,Kieswet 1872,1874-06-19,Tweede Kamer,01272,71374,33142,7795,127333,31458,136869,80044,565,5182,-34327.71,487474.04,-34327.71,453146.33,487336.04,-34327.71,453008.33,306967.9028281479,1871-03-03,1891-08-20,liberal,1831-10-11,1917-03-14,1204,31200,14388,15592,6271,Assen,0,5.2,81.5,8,5.3,ASSEN,0.17645,4.64,0.307319223985891,0.531305114638448,0.161375661375661,1873-06-10,2287,1015,0.44381285526891123,0,0,H.J. Smidt,691,0.09723502304147466,0.15921658986175116,493762,0.1445514235603388,0.06712140666961006,0.01578695808911986,0.25788335270838986,0.06371085664753465,0.2771963010519238,0.16211049047921874,0.0011442759872165131,0.010494934806647737,0.40450257411465446,0.43930679153114255,0.6022010604299237,0.24160830521587323,47149.5157704457
Mackay,1,Kieswet 1872,1874-06-19,Tweede Kamer,00863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1871-09-18,1877-03-21,liberal,1839-12-22,1921-08-01,1005,29807,11593,12598,1006,Tiel,0,13.6,82.7,2.1,1.6,TIEL,0.19616,4,0.355354288758657,0.540490143846564,0.104155567394779,1873-06-10,2896,2073,0.7158149171270718,0,0,D.J. baron Mackay,1121,0.017703132092601,0.5088515660463006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kappeyne van de Coppello,1,Kieswet 1872,1874-06-19,Tweede Kamer,00674,18010,0,179186,0,170878,10775,7000,3100,9428,-3434.25,398382.82,-3434.25,394948.57,398382.82,-3434.25,394948.57,412374.16787939233,1862-09-15,1877-11-02,confessional,1822-10-02,1895-07-28,4295,26597,14593,18888,1232,Haarlem,1,37.7,42.9,3.4,16,HAARLEM,1.25812,6.15,0.328900157872076,0.631153422953643,0.0399464191742812,1873-06-10,2538,1334,0.5256107171000788,0,0,J. Kappeyne van de Coppello,894,0.28964059196617337,0.6300211416490487,398377,0.04520843321778115,0,0.44979002301839716,0,0.4289354054074407,0.027047244193314373,0.017571295531619548,0.007781573735431513,0.023666024896015582,0.8787254284258378,0.04461853972493392,0.027047244193314373,0.8962967239574574,173296.7585329471
Stieltjes,1,Kieswet 1872,1874-06-19,Tweede Kamer,01303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1866-11-22,1878-06-22,liberal,1819-05-19,1878-06-23,2766,21585,17354,20120,1464,Amsterdam,6,22.9,40.2,8.1,28.7,AMSTERDAM,12.03224,6.13,0.298372234843154,0.695784161958947,0.00584360319789845,1873-06-24,4019,1320,0.328439910425479,0,0,Th.J. Stieltjes,1241,0.008709853021230268,0.08444474686989657,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tak van Poortvliet,1,Kieswet 1872,1874-06-19,Tweede Kamer,01339,1242441.15,26287,66656,52449,18325,97607,5,4215,39269,-24413.13,1539805.26,-24413.13,1515392.13,1539800.28,-24413.13,1515387.13,1368528.3605292214,1870-10-21,1901-01-23,confessional,1839-06-21,1904-01-26,1337,23594,11445,12782,9714,Middelburg,0,11.2,67.8,15,6.1,MIDDELBURG,0.58078,5.36,0.290065050266115,0.649911295091662,0.0600236546422235,1873-06-10,2815,1780,0.6323268206039077,0,0,J.P.R. Tak van Poortvliet,934,0.02915010410751467,0.05893116284939113,1547254.15,0.802997458433057,0.016989451926821462,0.04308018821600834,0.03389811557461326,0.011843561705748212,0.06308401240998449,3.2315311611864156e-6,0.0027241807688801484,0.02537979943372587,0.10581131742319128,0.06308724394114568,0.11397157991141921,0.054926981452917745,349436.3474690675
van Zinnicq Bergmann,0,Kieswet 1872,1874-06-19,Tweede Kamer,01601,179774,64092,64249,74238,335,12480,9950,4229,16623,-4002,418653.92,-4074.84,414579.08,418653.92,-4074.84,182990.495,135268.74182653552,1866-11-19,1879-02-24,confessional,1807-11-10,1879-02-25,2769,26040,21559,24328,1711,'s-Hertogenbosch,0,90.8,6.9,0.7,1.7,'S-HERTOGENBOSCH,0.77536,4.32,0.264478381594605,0.716779055930186,0.0187425624752083,1873-06-10,2800,1757,0.6275,0,0,F.J.E. van Zinnicq Bergmann,1474,0.7089855072463768,0.8544927536231884,425970,0.42203441556917154,0.15046130009155576,0.15082987064816772,0.17427987886470878,7.864403596497406e-4,0.029297837875906754,0.023358452473178862,0.0099279291968918,0.039023874920769065,0.476357489964082,0.052656290349085616,0.35403901683217126,0.1749747634809963,103591.0685994193
Schimmelpenninck van Nijenhuis,0,Kieswet 1872,1874-06-19,Tweede Kamer,01202,332464,857,7426,9885,0,7136,0,1721,30165,-337143.62,389660.48,-337143.62,52516.85,389660.48,-337143.62,52516.85,53035.91186180322,1857-09-22,1891-09-14,confessional,1821-05-09,1893-04-23,6114,26282,13285,19399,6296,'s-Gravenhage,0,30.8,54.7,3.6,10.8,'S-GRAVENHAGE,5.25337,6.66,0.285232716304926,0.660284463894967,0.0544828198001065,1873-06-10,2194,1398,0.6371923427529627,0,0,R.J. graaf Schimmelpenninck van Nijenhuis,731,0.0148451497312516,0.18710007678525722,389654,0.8532287619272483,0.0021993871485985004,0.019057933448649315,0.025368660401279084,0,0.01831368342170233,0,0.004416738953019858,0.07741483469950264,0.0466259809985269,0.01831368342170233,0.045881730971579916,0.019057933448649315,22807.246703045454
